Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
0.2,2811558,1332,2110.8,2112.0,2048,2464,40.7,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,2509925,624,4022.3,4000.0,3744,4928,168.3,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x2_nn_align8>(T1::Params)
0.1,2355557,1342,1755.3,1792.0,1376,2272,185.4,CUDA_KERNEL,reduce_segments
0.1,2141316,2880,743.5,736.0,640,1088,39.0,CUDA_KERNEL,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.1,1797284,366,4910.6,4896.0,4704,5152,66.6,CUDA_KERNEL,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.1,1621923,5310,305.4,256.0,224,1440,111.1,MEMORY_OPER,[CUDA memset]
0.1,1618274,1342,1205.9,1216.0,1088,1472,56.4,CUDA_KERNEL,"void vllm::scaled_fp8_quant_kernel_strided_group_shape<c10::BFloat16, c10::Float8_e4m3fn, (bool)1, (bool)1>(T2 *, const T1 *, const float *, int, long, long, int, int, long, long)"
0.1,1484452,366,4055.9,4064.0,3712,4800,137.9,CUDA_KERNEL,_compute_slot_mappings_kernel
0.1,1475843,793,1861.1,1856.0,1792,2208,61.2,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,1427075,1048,1361.7,992.0,832,5664,1160.9,CUDA_KERNEL,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.1,1343520,1342,1001.1,1024.0,800,1600,96.3,CUDA_KERNEL,reshape_and_cache_kernel_flash
0.1,1337953,3024,442.4,448.0,416,640,30.9,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,1281220,1342,954.7,960.0,928,1120,25.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,1211013,288,4204.9,4304.0,3328,5536,697.0,CUDA_KERNEL,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.1,1198181,1708,701.5,704.0,576,960,56.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, int, at::native::BitwiseAndFunctor<int>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,922342,732,1260.0,1248.0,1088,1664,49.5,CUDA_KERNEL,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,912738,1342,680.1,672.0,640,864,34.4,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,908160,1281,708.9,704.0,576,1056,67.1,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at::native::rshift_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int, int) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,846532,305,2775.5,3232.0,832,3456,951.7,CUDA_KERNEL,_update_draft_inputs_kernel
0.0,837377,613,1366.0,1088.0,832,2592,486.5,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,836100,834,1002.5,1056.0,672,1440,190.5,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,800577,96,8339.3,8320.0,8160,8576,87.2,CUDA_KERNEL,chunk_gated_delta_rule_fwd_kernel_h_blockdim64
0.0,775971,976,795.1,800.0,768,960,28.6,CUDA_KERNEL,_triton_mrope_forward
0.0,743556,854,870.7,896.0,768,1216,86.2,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BUnaryFunctor<int, int, int, at::native::lshift_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int, int) (instance 1)]>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,718432,96,7483.7,7488.0,7392,7648,46.3,CUDA_KERNEL,chunk_fwd_kernel_o
0.0,663587,427,1554.1,1504.0,1344,1889,95.7,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,641666,96,6684.0,6656.0,6304,7136,227.1,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,581410,60,9690.2,9680.0,6528,12128,1326.1,CUDA_KERNEL,_resample_kernel
0.0,515200,433,1189.8,1184.0,704,1440,83.0,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,487459,427,1141.6,960.0,928,1952,301.0,CUDA_KERNEL,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,469600,60,7826.7,8016.0,4864,8768,705.6,CUDA_KERNEL,_compute_local_logits_stats_kernel
0.0,469025,2,234512.5,234512.5,234496,234529,23.3,CUDA_KERNEL,"void at::native::tensor_kernel_scan_innermost_dim<float, std::plus<float>>(T1 *, const T1 *, unsigned int, unsigned int, unsigned int, T1, T2)"
0.0,465570,898,518.5,544.0,224,928,135.5,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.0,448801,732,613.1,608.0,480,800,46.8,CUDA_KERNEL,rotary_kernel
0.0,400897,427,938.9,896.0,864,1216,71.5,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<int, int, int, at::native::BitwiseOrFunctor<int>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,366624,96,3819.0,3808.0,3776,4000,33.1,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,336963,96,3510.0,3520.0,3456,3648,35.4,CUDA_KERNEL,recompute_w_u_fwd_kernel
0.0,328193,427,768.6,768.0,640,1088,66.7,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<int, int, int, at::native::BitwiseOrFunctor<int>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,286368,427,670.7,640.0,608,864,56.6,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,269472,96,2807.0,2816.0,2272,3200,131.2,CUDA_KERNEL,_causal_conv1d_fwd_kernel
0.0,257376,60,4289.6,4480.0,2912,5024,610.5,CUDA_KERNEL,_rejection_kernel
0.0,249344,447,557.8,544.0,384,768,44.8,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,242176,96,2522.7,2528.0,2464,2624,26.9,CUDA_KERNEL,chunk_scaled_dot_kkt_fwd_kernel
0.0,239008,124,1927.5,1920.0,1216,2304,179.6,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,232576,96,2422.7,2432.0,2400,2560,21.7,CUDA_KERNEL,merge_16x16_to_64x64_inverse_kernel
0.0,228834,369,620.1,608.0,448,800,37.3,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,220672,3,73557.3,73728.0,72864,74080,625.7,CUDA_KERNEL,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
0.0,207681,61,3404.6,3552.0,2240,4064,511.4,CUDA_KERNEL,_post_update_kernel
0.0,206720,363,569.5,544.0,512,832,57.5,CUDA_KERNEL,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,173185,73,2372.4,1952.0,1312,5888,1098.0,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)1>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,168960,96,1760.0,1776.0,1536,2080,191.4,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, long, long, long)::[lambda(int) (instance 1)]>(long, T3)"
0.0,149888,61,2457.2,2432.0,2176,2752,78.4,CUDA_KERNEL,_gather_block_tables_kernel
0.0,132480,60,2208.0,2176.0,2048,3296,154.8,CUDA_KERNEL,_insert_resampled_kernel
0.0,131202,183,717.0,672.0,640,896,81.1,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,129408,61,2121.4,2112.0,1952,2272,61.6,CUDA_KERNEL,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,118497,8,14812.1,14592.0,12960,16897,1372.0,CUDA_KERNEL,"void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::detail::radix::policy_hub<float, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy1000, (at_cuda_detail::cub::SortOrder)0, float, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,117824,61,1931.5,1920.0,1440,2144,95.1,CUDA_KERNEL,_combine_sampled_and_draft_tokens_kernel
0.0,113025,96,1177.3,1184.0,1024,1281,37.7,CUDA_KERNEL,chunk_local_cumsum_scalar_kernel
0.0,109088,61,1788.3,1728.0,1632,3488,314.4,CUDA_KERNEL,_prepare_rope_positions_kernel
0.0,108162,96,1126.7,1120.0,1024,1344,44.0,CUDA_KERNEL,_fused_post_conv_kernel
0.0,94240,61,1544.9,1536.0,1472,1792,59.3,CUDA_KERNEL,_get_num_sampled_and_rejected_kernel
0.0,88193,61,1445.8,1440.0,1248,1568,62.5,CUDA_KERNEL,_prepare_decode_inputs_kernel
0.0,87584,96,912.3,896.0,768,1184,134.6,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,81184,2,40592.0,40592.0,39072,42112,2149.6,CUDA_KERNEL,_zero_kv_blocks_kernel
0.0,80800,63,1282.5,1248.0,1056,2368,194.2,CUDA_KERNEL,_prepare_prefill_inputs_kernel
