INFO 08-16 05:28:47 [loggers.py:314] Engine 000: Avg prompt throughput: 971.8 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 16.7%, Prefix cache hit rate: 0.0%
INFO 08-16 05:32:27 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:32:37 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:32:47 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:32:57 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:33:07 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:33:17 [loggers.py:314] Engine 000: Avg prompt throughput: 799.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:33:27 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:33:37 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:33:47 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:33:57 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:34:07 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:34:17 [loggers.py:314] Engine 000: Avg prompt throughput: 799.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:34:27 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:34:37 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:34:47 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:34:57 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:35:07 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:35:17 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:35:27 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:35:37 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:35:47 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:35:57 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:36:07 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:36:17 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:36:27 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:36:37 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:36:47 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:36:57 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:37:07 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:37:17 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:37:27 [loggers.py:314] Engine 000: Avg prompt throughput: 959.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:37:37 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:37:47 [loggers.py:314] Engine 000: Avg prompt throughput: 799.9 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:37:57 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:38:07 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:38:17 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:38:27 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:38:37 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:38:47 [loggers.py:314] Engine 000: Avg prompt throughput: 800.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
INFO 08-16 05:38:57 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
INFO 08-16 05:39:07 [loggers.py:314] Engine 000: Avg prompt throughput: 960.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
